Id,article_no,article_link,authors,publish_date,image_url,title
59,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
60,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
61,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
62,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
63,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
64,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
65,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
66,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
67,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
68,article1,https://www.dailymaverick.co.za/article/2021-04-07-whose-money-is-it-anyway-gauteng-treasury-admits-to-r259m-miscalculation/,Mark Heywood,2021-04-07,https://www.dailymaverick.co.za/wp-content/uploads/AdobeStock_335813343_0001.jpg?w=1280,Whose Money Is It Anyway? Gauteng treasury admits to R259m ‘miscalculation’
